full_address,street,unit,city,state,zipcode,short_address,URL-Address,Manual Entry,latitude,longitude,id,Orgs Link,Org Names,Org ids,Org Item Pages,Services Link,Service Names,Service ids,Service Item Pages,Last Updated,Last Updated By,Created By,Created Date,Events Link,Event ids,html
"101 W 8th Ave, Spokane, WA 99204",101 W 8th Ave,,Spokane,WA,99204,"101 W 8th Ave, Spokane, WA 99204",https://www.google.com/maps/search/101%20W%208th%20Ave%2C%20Spokane%2C%20WA%2099204,,47.64837610,-117.41171020,64,SafeKids Coalition_46,SafeKids Coalition,46,https://resourcecenter.softr.app/organization-details?recordId=recHp83SWKwBhBMOF,Car Seats / Car Seat Fitting - SafeKids Coalition - 136,Car Seats / Car Seat Fitting,136,https://resourcecenter.softr.app/service-details?recordId=recs3RiJqsysFVwMg,12/13/2024 9:31am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>101 W 8th Ave, Spokane, WA 99204</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=recHp83SWKwBhBMOF><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=recs3RiJqsysFVwMg><span>Service Name</span></a></li></ul>"
"104 W 9th St, Suite 205, Vancouver, WA 98660",104 W 9th St,Suite 205,Vancouver,WA,98660,"104 W 9th St, Vancouver, WA 98660",https://www.google.com/maps/search/104%20W%209th%20St%2C%20Vancouver%2C%20WA%2098660,,45.62815430,-122.67238600,9,,,,,Dollar for Debt Forgiveness - Big Table - 21,Dollar for Debt Forgiveness,21,https://resourcecenter.softr.app/service-details?recordId=recJ1FRpU7r3rE1Ob,1/7/2025 5:44pm,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>104 W 9th St, Suite 205, Vancouver, WA 98660</h3><h4>Organizations</h4><ul><li><a href=><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=recJ1FRpU7r3rE1Ob><span>Service Name</span></a></li></ul>"
"110 E 4th Ave, Spokane, WA 99202",110 E 4th Ave,,Spokane,WA,99202,"110 E 4th Ave, Spokane, WA 99202",https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,,47.66841473,-117.42349500,2,"Aging & Long Term Care of Eastern Washington (ALTCEW)_1,Thrive International_71","Aging & Long Term Care of Eastern Washington (ALTCEW), Thrive International","1, 71","https://resourcecenter.softr.app/organization-details?recordId=recwDp14FsrpwGDNE, https://resourcecenter.softr.app/organization-details?recordId=recqLYZSYzfh18ASY","Care Coordination (Health Home) - Aging & Long Term Care of Eastern Washington (ALTCEW) - 1,Care Transitions - Aging & Long Term Care of Eastern Washington (ALTCEW) - 2,Caregiver Support - Aging & Long Term Care of Eastern Washington (ALTCEW) - 3,Community Living Connections - Aging & Long Term Care of Eastern Washington (ALTCEW) - 4,Family Raising Family: Kinship Caregiver - Aging & Long Term Care of Eastern Washington (ALTCEW) - 5,Medicare Assistance - Aging & Long Term Care of Eastern Washington (ALTCEW) - 6,Medication Managment - Aging & Long Term Care of Eastern Washington (ALTCEW) - 7","Care Coordination (Health Home), Care Transitions, Caregiver Support, Community Living Connections, Family Raising Family: Kinship Caregiver, Medicare Assistance, Medication Managment","1, 2, 3, 4, 5, 6, 7","https://resourcecenter.softr.app/service-details?recordId=recCYA8JUlHfJfitT, https://resourcecenter.softr.app/service-details?recordId=reciTtqxe2ticSFNT, https://resourcecenter.softr.app/service-details?recordId=recFOGaC7PksBdioz, https://resourcecenter.softr.app/service-details?recordId=recHcJWthVSwVgK8M, https://resourcecenter.softr.app/service-details?recordId=recqUSABkz07F1ST9, https://resourcecenter.softr.app/service-details?recordId=recEOHKhjiZXPaiYT, https://resourcecenter.softr.app/service-details?recordId=reck46JFDtFGwB70H",1/7/2025 5:41pm,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>110 E 4th Ave, Spokane, WA 99202</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=recwDp14FsrpwGDNEhttps://resourcecenter.softr.app/organization-details?recordId=recqLYZSYzfh18ASY><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=recCYA8JUlHfJfitThttps://resourcecenter.softr.app/service-details?recordId=reciTtqxe2ticSFNThttps://resourcecenter.softr.app/service-details?recordId=recFOGaC7PksBdiozhttps://resourcecenter.softr.app/service-details?recordId=recHcJWthVSwVgK8Mhttps://resourcecenter.softr.app/service-details?recordId=recqUSABkz07F1ST9https://resourcecenter.softr.app/service-details?recordId=recEOHKhjiZXPaiYThttps://resourcecenter.softr.app/service-details?recordId=reck46JFDtFGwB70H><span>Service Name</span></a></li></ul>"
"111 S Highland St, PMB 461, Memphis, TN 38111",111 S Highland St,PMB 461,Memphis,TN,38111,"111 S Highland St, Memphis, TN 38111",https://www.google.com/maps/search/111%20S%20Highland%20St%2C%20Memphis%2C%20TN%2038111,,35.12892370,-89.94574170,35,Free The People (FTP)_23,Free The People (FTP),23,https://resourcecenter.softr.app/organization-details?recordId=recpRAhEfXHweqbND,"Bail Assistance - Free The People (FTP) - 71,Housing Assistance - Free The People (FTP) - 72,Social Security Assistance - Free The People (FTP) - 73","Bail Assistance, Housing Assistance, Social Security Assistance","71, 72, 73","https://resourcecenter.softr.app/service-details?recordId=recgmOxwxEyD29i9P, https://resourcecenter.softr.app/service-details?recordId=rec5U5CzGazbdeFQZ, https://resourcecenter.softr.app/service-details?recordId=recMRBf9meMlTn41p",1/7/2025 5:56pm,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>111 S Highland St, PMB 461, Memphis, TN 38111</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=recpRAhEfXHweqbND><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=recgmOxwxEyD29i9Phttps://resourcecenter.softr.app/service-details?recordId=rec5U5CzGazbdeFQZhttps://resourcecenter.softr.app/service-details?recordId=recMRBf9meMlTn41p><span>Service Name</span></a></li></ul>"
"119 N Lefevre St, Medical Lake, WA 99022",119 N Lefevre St,,Medical Lake,WA,99022,"119 N Lefevre St, Medical Lake, WA 99022",https://www.google.com/maps/search/119%20N%20Lefevre%20St%2C%20Medical%20Lake%2C%20WA%2099022,,47.57821630,-117.68266710,108,,,,,FREE Preschool (Medical Lake) - Young Women's Christian Association (YWCA) - 234,FREE Preschool (Medical Lake),234,https://resourcecenter.softr.app/service-details?recordId=recykXiVe3Zs2HsCF,12/13/2024 9:31am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>119 N Lefevre St, Medical Lake, WA 99022</h3><h4>Organizations</h4><ul><li><a href=><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=recykXiVe3Zs2HsCF><span>Service Name</span></a></li></ul>"
"124 E Pacific Ave, Spokane, WA 99202",124 E Pacific Ave,,Spokane,WA,99202,"124 E Pacific Ave, Spokane, WA 99202",https://www.google.com/maps/search/124%20E%20Pacific%20Ave%2C%20Spokane%2C%20WA%2099202,checked,47.65535991,-117.40881874,116,Spokane Neighborhood Action Partners (SNAP)_59,Spokane Neighborhood Action Partners (SNAP),59,https://resourcecenter.softr.app/organization-details?recordId=recqZqXUr85IH1kJn,,,,,12/13/2024 9:30am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>124 E Pacific Ave, Spokane, WA 99202</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=recqZqXUr85IH1kJn><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=><span>Service Name</span></a></li></ul>"
"127 E Nora Ave, Spokane, WA 99207",127 E Nora Ave,,Spokane,WA,99207,"127 E Nora Ave, Spokane, WA 99207",https://www.google.com/maps/search/127%20E%20Nora%20Ave%2C%20Spokane%2C%20WA%2099207,,47.67398127,-117.40902000,68,,,,,Stepping Stones Transitional Housing - Salvation Army - 139,Stepping Stones Transitional Housing,139,https://resourcecenter.softr.app/service-details?recordId=rechxaqjFXExuDlDc,12/13/2024 9:31am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>127 E Nora Ave, Spokane, WA 99207</h3><h4>Organizations</h4><ul><li><a href=><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=rechxaqjFXExuDlDc><span>Service Name</span></a></li></ul>"
"130 S Arthur St, Spokane, WA 99202",130 S Arthur St,,Spokane,WA,99202,"130 S Arthur St, Spokane, WA 99202",https://www.google.com/maps/search/130%20S%20Arthur%20St%2C%20Spokane%2C%20WA%2099202,,47.65559915,-117.39587840,62,Resource Center of Spokane County_45,Resource Center of Spokane County,45,https://resourcecenter.softr.app/organization-details?recordId=rec8tnBnn7sW6XUrD,"Low-Income Housing Assistance - Resource Center of Spokane County - 134,Reconnect2Work - Resource Center of Spokane County - 135,Lifeline Cell Phone Program - Resource Center of Spokane County - 133","Low-Income Housing Assistance, Reconnect2Work, Lifeline Cell Phone Program","134, 135, 133","https://resourcecenter.softr.app/service-details?recordId=reckUNqCbcKs8CIKv, https://resourcecenter.softr.app/service-details?recordId=recZcdffl88uDDsR7, https://resourcecenter.softr.app/service-details?recordId=rect94dKqDm0Zf23y",12/13/2024 9:31am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>130 S Arthur St, Spokane, WA 99202</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=rec8tnBnn7sW6XUrD><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=reckUNqCbcKs8CIKvhttps://resourcecenter.softr.app/service-details?recordId=recZcdffl88uDDsR7https://resourcecenter.softr.app/service-details?recordId=rect94dKqDm0Zf23y><span>Service Name</span></a></li></ul>"
"142 Berkeley St, Boston, MA 2116",142 Berkeley St,,Boston,MA,2116,"142 Berkeley St, Boston, MA 2116",https://www.google.com/maps/search/142%20Berkeley%20St%2C%20Boston%2C%20MA%202116,,42.34533560,-71.07002940,32,Family Reach_21,Family Reach,21,https://resourcecenter.softr.app/organization-details?recordId=rec3s40qddvpz1woF,"Brain Cancer Grant - Family Reach - 63,Breast Cancer Grant - Family Reach - 64,Cervical Cancer Grant - Family Reach - 65,Clinical Trial Access Grant - Family Reach - 66,General Funding Grant - Family Reach - 67,Multiple Myeloma Grant - Family Reach - 68,Pediatric Grant - Family Reach - 69","Brain Cancer Grant, Breast Cancer Grant, Cervical Cancer Grant, Clinical Trial Access Grant, General Funding Grant, Multiple Myeloma Grant, Pediatric Grant","63, 64, 65, 66, 67, 68, 69","https://resourcecenter.softr.app/service-details?recordId=rec5YEKskucXJOdtM, https://resourcecenter.softr.app/service-details?recordId=reckK4WBlIrUYshPo, https://resourcecenter.softr.app/service-details?recordId=rec1zT1Y7FQBL80Fr, https://resourcecenter.softr.app/service-details?recordId=recXjPSlqTF1TSFKM, https://resourcecenter.softr.app/service-details?recordId=receowHz7MVz1sowm, https://resourcecenter.softr.app/service-details?recordId=recIe5uaPHmhAPeeB, https://resourcecenter.softr.app/service-details?recordId=recK59F00aD4nWv4U",1/7/2025 5:55pm,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>142 Berkeley St, Boston, MA 2116</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=rec3s40qddvpz1woF><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=rec5YEKskucXJOdtMhttps://resourcecenter.softr.app/service-details?recordId=reckK4WBlIrUYshPohttps://resourcecenter.softr.app/service-details?recordId=rec1zT1Y7FQBL80Frhttps://resourcecenter.softr.app/service-details?recordId=recXjPSlqTF1TSFKMhttps://resourcecenter.softr.app/service-details?recordId=receowHz7MVz1sowmhttps://resourcecenter.softr.app/service-details?recordId=recIe5uaPHmhAPeeBhttps://resourcecenter.softr.app/service-details?recordId=recK59F00aD4nWv4U><span>Service Name</span></a></li></ul>"
"170 S Madison St, Spokane, WA 99201",170 S Madison St,,Spokane,WA,99201,"170 S Madison St, Spokane, WA 99201",https://www.google.com/maps/search/170%20S%20Madison%20St%2C%20Spokane%2C%20WA%2099201,,47.65512760,-117.42816540,95,The City Gate_68,The City Gate,68,https://resourcecenter.softr.app/organization-details?recordId=reciEJxZZanIfK06W,"The Alberta House - The City Gate - 177,Clothing Outlet - The City Gate - 176,The Kitchen - The City Gate - 179,The City Gate Food Bank - The City Gate - 178","The Alberta House, Clothing Outlet, The Kitchen, The City Gate Food Bank","177, 176, 179, 178","https://resourcecenter.softr.app/service-details?recordId=recXGDAbJXGLksbJq, https://resourcecenter.softr.app/service-details?recordId=receeXIWdU8gdlMIn, https://resourcecenter.softr.app/service-details?recordId=recf4pZH5xNwJiAvm, https://resourcecenter.softr.app/service-details?recordId=recD0BNHw3AoLCDsc",12/13/2024 9:31am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>170 S Madison St, Spokane, WA 99201</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=reciEJxZZanIfK06W><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=recXGDAbJXGLksbJqhttps://resourcecenter.softr.app/service-details?recordId=receeXIWdU8gdlMInhttps://resourcecenter.softr.app/service-details?recordId=recf4pZH5xNwJiAvmhttps://resourcecenter.softr.app/service-details?recordId=recD0BNHw3AoLCDsc><span>Service Name</span></a></li></ul>"
"200 N Bernard St, Spokane, WA 99201",200 N Bernard St,,Spokane,WA,99201,"200 N Bernard St, Spokane, WA 99201",https://www.google.com/maps/search/200%20N%20Bernard%20St%2C%20Spokane%2C%20WA%2099201,,47.65973500,-117.41587700,84,Spokane Public Schools (SPS)_60,Spokane Public Schools (SPS),60,https://resourcecenter.softr.app/organization-details?recordId=recoZAnTfhGqLgMk8,HEART Program - Spokane Public Schools (SPS) - 159,HEART Program,159,https://resourcecenter.softr.app/service-details?recordId=rec8kDsiaPAHttZF4,12/13/2024 9:31am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>200 N Bernard St, Spokane, WA 99201</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=recoZAnTfhGqLgMk8><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=rec8kDsiaPAHttZF4><span>Service Name</span></a></li></ul>"
"203 E 3rd Ave, Spokane, WA 99202",203 E 3rd Ave,,Spokane,WA,99202,"203 E 3rd Ave, Spokane, WA 99202",https://www.google.com/maps/search/203%20E%203rd%20Ave%2C%20Spokane%2C%20WA%2099202,,47.65362800,-117.40798840,11,Calvary Baptist Church_8,Calvary Baptist Church,8,https://resourcecenter.softr.app/organization-details?recordId=recliKelZjtszbvjc,Soup Kitchen - Calvary Baptist Church - 23,Soup Kitchen,23,https://resourcecenter.softr.app/service-details?recordId=rec5SRR5AGf2BbGlO,1/7/2025 5:44pm,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>203 E 3rd Ave, Spokane, WA 99202</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=recliKelZjtszbvjc><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=rec5SRR5AGf2BbGlO><span>Service Name</span></a></li></ul>"
"204 4th St , Cheney, WA 99004",204 4th St ,,Cheney,WA,99004,"204 4th St , Cheney, WA 99004",https://www.google.com/maps/search/204%204th%20St%20%2C%20Cheney%2C%20WA%2099004,,47.65338665,-117.44630750,4,"All Saints Lutheran Church_86,Cheney United Methodist Church_91","All Saints Lutheran Church, Cheney United Methodist Church","86, 91","https://resourcecenter.softr.app/organization-details?recordId=rec2rrki4FOCxtvKt, https://resourcecenter.softr.app/organization-details?recordId=recbpf8f5X7qfMbUU",Food Distribution Center - All Saints Lutheran Church - 215,Food Distribution Center,215,https://resourcecenter.softr.app/service-details?recordId=recBNsOaSYGDSfuIk,2/4/2025 11:03am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>204 4th St , Cheney, WA 99004</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=rec2rrki4FOCxtvKthttps://resourcecenter.softr.app/organization-details?recordId=recbpf8f5X7qfMbUU><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=recBNsOaSYGDSfuIk><span>Service Name</span></a></li></ul>"
"204 E Indiana Ave, Spokane, WA 99207",204 E Indiana Ave,,Spokane,WA,99207,"204 E Indiana Ave, Spokane, WA 99207",https://www.google.com/maps/search/204%20E%20Indiana%20Ave%2C%20Spokane%2C%20WA%2099207,,47.67464855,-117.40764470,67,,,,,,,,,2/4/2025 11:03am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>204 E Indiana Ave, Spokane, WA 99207</h3><h4>Organizations</h4><ul><li><a href=><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=><span>Service Name</span></a></li></ul>"
"207 S Washington St, Medical Lake, WA 99022",207 S Washington St,,Medical Lake,WA,99022,"207 S Washington St, Medical Lake, WA 99022",https://www.google.com/maps/search/207%20S%20Washington%20St%2C%20Medical%20Lake%2C%20WA%2099022,,47.57159635,-117.67942650,12,,,,,Medical Lake Food Bank - Care & Share Thrift Store - 223,Medical Lake Food Bank,223,https://resourcecenter.softr.app/service-details?recordId=recyzEc0GS4sQdZ0P,1/7/2025 5:37pm,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>207 S Washington St, Medical Lake, WA 99022</h3><h4>Organizations</h4><ul><li><a href=><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=recyzEc0GS4sQdZ0P><span>Service Name</span></a></li></ul>"
"211 Fir Ave, Deer Park, WA 99006",211 Fir Ave,,Deer Park,WA,99006,"211 Fir Ave, Deer Park, WA 99006",https://www.google.com/maps/search/211%20Fir%20Ave%2C%20Deer%20Park%2C%20WA%2099006,,47.95631007,-117.48230990,39,GreenHouse Food Bank_26,GreenHouse Food Bank,26,https://resourcecenter.softr.app/organization-details?recordId=recMEdwOA15U2fsvi,"Basic Food Assistance Program - GreenHouse Food Bank - 78,Clothing Bank - GreenHouse Food Bank - 79,Food Bank - GreenHouse Food Bank - 80,Personal Hygiene - GreenHouse Food Bank - 81,Supplemental Food for Senior Adults - GreenHouse Food Bank - 82,Utility Assistance - GreenHouse Food Bank - 83","Basic Food Assistance Program, Clothing Bank, Food Bank, Personal Hygiene, Supplemental Food for Senior Adults, Utility Assistance","78, 79, 80, 81, 82, 83","https://resourcecenter.softr.app/service-details?recordId=recRmXzZzEAf8xiVH, https://resourcecenter.softr.app/service-details?recordId=recGGpol03ZMNJ3hc, https://resourcecenter.softr.app/service-details?recordId=rec3WB8eQfiBohTRk, https://resourcecenter.softr.app/service-details?recordId=recnwhzHFlJrhd2ls, https://resourcecenter.softr.app/service-details?recordId=recwu6SyU0xoiK7hH, https://resourcecenter.softr.app/service-details?recordId=recq9VTXxqrMiRxf5",1/7/2025 6:00pm,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>211 Fir Ave, Deer Park, WA 99006</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=recMEdwOA15U2fsvi><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=recRmXzZzEAf8xiVHhttps://resourcecenter.softr.app/service-details?recordId=recGGpol03ZMNJ3hchttps://resourcecenter.softr.app/service-details?recordId=rec3WB8eQfiBohTRkhttps://resourcecenter.softr.app/service-details?recordId=recnwhzHFlJrhd2lshttps://resourcecenter.softr.app/service-details?recordId=recwu6SyU0xoiK7hHhttps://resourcecenter.softr.app/service-details?recordId=recq9VTXxqrMiRxf5><span>Service Name</span></a></li></ul>"
"211 N Lefevre St, Medical Lake, WA 99022",211 N Lefevre St,,Medical Lake,WA,99022,"211 N Lefevre St, Medical Lake, WA 99022",https://www.google.com/maps/search/211%20N%20Lefevre%20St%2C%20Medical%20Lake%2C%20WA%2099022,,47.57399625,-117.68280010,118,Care & Share Thrift Store_92,Care & Share Thrift Store,92,https://resourcecenter.softr.app/organization-details?recordId=rechAhbipT9XBnooX,,,,,12/13/2024 9:30am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>211 N Lefevre St, Medical Lake, WA 99022</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=rechAhbipT9XBnooX><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=><span>Service Name</span></a></li></ul>"
"212 W 2nd Ave, Spokane, WA 99201",212 W 2nd Ave,,Spokane,WA,99201,"212 W 2nd Ave, Spokane, WA 99201",https://www.google.com/maps/search/212%20W%202nd%20Ave%2C%20Spokane%2C%20WA%2099201,,47.65461689,-117.41526970,117,Spokane Neighborhood Action Partners (SNAP)_59,Spokane Neighborhood Action Partners (SNAP),59,https://resourcecenter.softr.app/organization-details?recordId=recqZqXUr85IH1kJn,,,,,12/13/2024 9:30am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>212 W 2nd Ave, Spokane, WA 99201</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=recqZqXUr85IH1kJn><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=><span>Service Name</span></a></li></ul>"
"222 E Indiana Ave, Spokane, WA 99207",222 E Indiana Ave,,Spokane,WA,99207,"222 E Indiana Ave, Spokane, WA 99207",https://www.google.com/maps/search/222%20E%20Indiana%20Ave%2C%20Spokane%2C%20WA%2099207,,47.67491600,-117.40758420,66,Salvation Army_47,Salvation Army,47,https://resourcecenter.softr.app/organization-details?recordId=recxdKeufufyzCwdM,"Family Emergency Shelter - Salvation Army - 137,Food Distribution Center - Salvation Army - 138,Celebrate Recovery - Salvation Army - 239","Family Emergency Shelter, Food Distribution Center, Celebrate Recovery","137, 138, 239","https://resourcecenter.softr.app/service-details?recordId=recZv66wPFHGtv8Pr, https://resourcecenter.softr.app/service-details?recordId=recsPYDdM3GjVl49o, https://resourcecenter.softr.app/service-details?recordId=recbNgN9l7DexRwlJ",2/4/2025 11:21am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>222 E Indiana Ave, Spokane, WA 99207</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=recxdKeufufyzCwdM><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=recZv66wPFHGtv8Prhttps://resourcecenter.softr.app/service-details?recordId=recsPYDdM3GjVl49ohttps://resourcecenter.softr.app/service-details?recordId=recbNgN9l7DexRwlJ><span>Service Name</span></a></li></ul>"
"307 E Sprague Ave, Spokane, WA 99202",307 E Sprague Ave,,Spokane,WA,99202,"307 E Sprague Ave, Spokane, WA 99202",https://www.google.com/maps/search/307%20E%20Sprague%20Ave%2C%20Spokane%2C%20WA%2099202,,47.65736531,-117.40644780,88,Teen & Kid Closet_64,Teen & Kid Closet,64,https://resourcecenter.softr.app/organization-details?recordId=rechdg4LmaUK1F8Yb,Clothing Outlet (Downtown) - Teen & Kid Closet - 164,Clothing Outlet (Downtown),164,https://resourcecenter.softr.app/service-details?recordId=recS0aqhHnQoeguKR,12/13/2024 9:31am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>307 E Sprague Ave, Spokane, WA 99202</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=rechdg4LmaUK1F8Yb><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=recS0aqhHnQoeguKR><span>Service Name</span></a></li></ul>"
"310 S Spruce St, Spokane, WA 99201",310 S Spruce St,,Spokane,WA,99201,"310 S Spruce St, Spokane, WA 99201",https://www.google.com/maps/search/310%20S%20Spruce%20St%2C%20Spokane%2C%20WA%2099201,,47.65341932,-117.44630690,75,Southwest Spokane Community Center_102,Southwest Spokane Community Center,102,https://resourcecenter.softr.app/organization-details?recordId=recAzesYPGLauoz0g,"Youth Program - Southwest Spokane Community Center - 247,Food Bank - Southwest Spokane Community Center - 246","Youth Program, Food Bank","247, 246","https://resourcecenter.softr.app/service-details?recordId=reccRjgdxXMbmaxRM, https://resourcecenter.softr.app/service-details?recordId=recvABqkkhyepILkO",2/4/2025 11:19am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>310 S Spruce St, Spokane, WA 99201</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=recAzesYPGLauoz0g><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=reccRjgdxXMbmaxRMhttps://resourcecenter.softr.app/service-details?recordId=recvABqkkhyepILkO><span>Service Name</span></a></li></ul>"
"316 W Boone Ave, Spokane, WA 99201",316 W Boone Ave,,Spokane,WA,99201,"316 W Boone Ave, Spokane, WA 99201",https://www.google.com/maps/search/316%20W%20Boone%20Ave%2C%20Spokane%2C%20WA%2099201,,47.66816977,-117.41622850,26,"""Department of Children, Youth, and Families (DCYF)_17""","Department of Children, Youth, and Families (DCYF)",17,https://resourcecenter.softr.app/organization-details?recordId=recjwvmNKrUV81f5r,"""Working Connections Child Care (WCCC) - Department of Children, Youth, and Families (DCYF) - 276"",""Child Protective Services - Department of Children, Youth, and Families (DCYF) - 282"",""Family Reconciliation Services (FRS) - Department of Children, Youth, and Families (DCYF) - 278"",""Foster Youth Services - Department of Children, Youth, and Families (DCYF) - 279"",""Juvenile Rehabilitation - Department of Children, Youth, and Families (DCYF) - 280""","Working Connections Child Care (WCCC), Child Protective Services, Family Reconciliation Services (FRS), Foster Youth Services, Juvenile Rehabilitation","276, 282, 278, 279, 280","https://resourcecenter.softr.app/service-details?recordId=rec2qwNeiHUwScdV6, https://resourcecenter.softr.app/service-details?recordId=recxsEkCfsNFEydIK, https://resourcecenter.softr.app/service-details?recordId=recbqH43zU6pSy598, https://resourcecenter.softr.app/service-details?recordId=rectGGq5qUP1TOXoK, https://resourcecenter.softr.app/service-details?recordId=recLfQ8ZcTTVbitPw",2/4/2025 11:26am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>316 W Boone Ave, Spokane, WA 99201</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=recjwvmNKrUV81f5r><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=rec2qwNeiHUwScdV6https://resourcecenter.softr.app/service-details?recordId=recxsEkCfsNFEydIKhttps://resourcecenter.softr.app/service-details?recordId=recbqH43zU6pSy598https://resourcecenter.softr.app/service-details?recordId=rectGGq5qUP1TOXoKhttps://resourcecenter.softr.app/service-details?recordId=recLfQ8ZcTTVbitPw><span>Service Name</span></a></li></ul>"
