id,name,description,open_hours,org_type,status,parent_org_id,contact_id,log_id,location_id
9,CAPA / PREPARES,"CAPA/PREPARES (Childbirth and Parenting Assistance) provides an environment for parents to build loving bonds with their kids to prepare them for a healthy future. CAPA/PREPARES offers stabilizing and advocacy services to expecting and parenting individuals and families with children ages five and under. All parents, guardians, or caregivers of a child aged 0-5 are welcome!",,Non-Profit,Active,11,11,11,17
92,Care & Share Thrift Store,Care & Share is a local 2nd hand store that raises funds for the operation of the Medical Lake Food Pantry,,Non-Profit,Active,,12,12,118
10,Caritas Outreach Ministries,"Established in 1992, Caritas Food Bank is an ecumenical nonprofit seeking to serve neighbors in need by providing food, hygiene supplies, fuel vouchers/bus passes, and utility assistance.
We covenant to serve clients without prejudice or discrimination and to preserve their dignity.

By working together, our individual talents and resources multiply to better serve our community","Monday, Wednesday & Thursday, 10:30am-1:30pm",Outreach Ministry,Active,,13,13,13
11,Catholic Charities Eastern Washington,"Catholic Charities affirms the dignity of every person, partnering with parishes and the greater community to serve and advocate for those who are vulnerable, bringing STABILITY and HOPE to people throughout Eastern Washington.

WE will serve under this mission with RESPECT, COMPASSION, COLLABORATION, and JUSTICE guiding every decision that is made.

Strategically, we will be driven by a deep commitment to our people, our relationships, our crisis response, our advocacy, and our innovation.",,Outreach Ministry,Active,,14,14,14
12,Central YMCA Children's Center,"The Central YMCA Children’s Center places your infant, toddler, and preschooler in a caring and supportive environment where they will engage in individual development and learning. Our children enjoy their ‘work’ each day as they learn through hands-on learning environments and activities. Call 509 777 9622 x4520 for more info.",,Non-Profit,Active,80,15,15,19
87,Cheney Cupboard,"We are a non-profit, whose mission is to remove the food insecurities faced by local residents of Cheney. Even in our modern times, we are faced with so much food inefficiencies that as a nation, our waste has an impact on each other's lives in the form of unnoticed hunger.

We at Cheney Cupboard are a collective of local volunteers, coming together to combat this issue. To provide security. To remove hunger.",,Non-Profit,Active,,16,16,20
91,Cheney United Methodist Church,"Cheney United Methodist Church is a place where people can meet Jesus, engage in life-giving community, and everyone is welcome. Literally everyone: No matter how poor or rich you are, how you look like, where you come from or who you love. We believe in creating a space where people can have authentic encounters with Christ, experience a loving community, discover their gifts and use them for God's glory.",,Church,Active,,17,17,4
13,Children of Restaurant Employees (CORE),"CORE is a national non-profit that is dedicated to providing support to the food & beverage service industry. CORE grants financial assistance to food and beverage operations employees with children when the employee, their spouse/domestic partner, or their child is faced with a life-altering health crisis, injury, death or natural disaster.

If you are in need of translation assistance, please email Kristen@COREgives.org so that we may connect you with a volunteer translator who can assist you with completing your application.",,Non-Profit,Active,,18,18,22
14,Community Behavioral Health Services,"Some members of our community face obstacles that block their pathway to peace. They may face behavioral health disorders that interfere with everyday life. Others struggle with family relationships that feel out of control. For some, mental health conditions exacerbate substance use disorders, pushing recovery further out of reach.

The high-quality therapists that provide extensive mental health treatment at Catholic Charities show clients there is hope and help them navigate the pathway out of suffering. They use rigorously tested methods that are proven to help clients make progress. They work with a team of professionals who support clients by providing whatever resources they need. Most importantly, therapists center care around patients, witnessing their suffering, working toward their goals and providing them hope.

Wraparound with Intensive Services, or WISe, is an approach to helping children, youth, and their families with intensive mental health care. Services are available on site for Rising Strong program participants and offer a system of care based on the individualized need of the child or youth. WISe is a voluntary service that takes a team approach to support you and your family in meeting your goals.",,Non-Profit,Active,11,19,19,23
106,Community Health Plan of Washington (CHPW),"Community Health Plan of Washington (CHPW) has been providing quality health care to Washington families and supporting your choices for health care **since 1992**.
You’re the expert on your health and well-being. Our mission is to support you in making the best health care decisions for you and your family.

## Committed to leading the way

**We’re Washington’s first not-for-profit to serve Apple Health members.**
In 1992, Washington’s community and migrant health centers (CHCs), created Community Health Plan of Washington to provide health insurance to people who were not being served by traditional insurance companies.

* We are governed by community organizations (Community Health Centers) which, in turn, are governed by community members.
* As a not-for-profit company, our work is motivated first by the best interests of our members, providers and communities. We promote managed care as way to control costs. We never sacrifice the quality of care for our members.
* We work hand-in-hand with local community resources and social service organizations to support all aspects of our members’ lives. For us, healthcare includes behavioral, mental and social supports, as well as the medical needs of our members.
* We provide different health plan options to ensure that Washingtonians have access to healthcare.

[➔ Meet our Executive Leadership](https://www.chpw.org/about-chpw/our-leadership/)

## Committed to Washington’s families

**We treat you how we’d want to be treated.**
We strive to make CHPW a home for all our members. Home means different things to different people, but it starts with being understood, respected, and cared for.

* Juggling your family’s health care needs can feel like a full-time job. But we’re on your team, helping you access [all the services, therapies and solutions you need for your whole health](https://www.chpw.org/find-health-plan/apple-health-plan/chpw-plan-benefits/). No matter what language you speak, [we offer translation services](https://www.chpw.org/contact-us/language-assistance/).
* We provide access to [high-quality medical services](https://www.chpw.org/member-center/member-resources/plan-and-coverage/) for everyone, regardless of ability to pay.
* Together, with our [family of Community Health Centers](https://www.chpw.org/about-chpw/our-clinics/), we empower members with services that [go beyond traditional health care](https://www.chpw.org/member-center/health-management/community-programs/) (like food, housing, and transportation assistance).

## Committed to Washington’s communities

**We’re here for Washington’s residents, because we are Washington residents.**
You’ll see us around Washington at your community events, on the bus, or even at the PTA meeting. Our CHPW staff are your neighbors here in Washington.

* Our employee-led initiatives partner with local charities to organize quarterly drives collecting food, toiletries, clothing, books, holiday gifts, and school supplies.
* CHPW employees frequently get out of the office to use their 40 hours a year of paid volunteer time, serving meals at food banks and cleaning up community spaces.

## Committed to Washington’s health

**We’re connected throughout Washington.** The Community Health Plan of Washington (CHPW) network includes:

* **21 Community Health Centers** operating more than **190 clinics**
* More than **3,100** primary care providers
* Nearly **15,000** medical specialists
* Nearly **8,000** behavioral health specialists
* Over **100** hospitals
* More than **130** Affiliate Providers at **393** locations

## Committed to Washington’s future

**We act today to improve Washington’s health for years to come.**
Through our policy branch, Community Health Network of Washington (CHNW), we fight in the state and federal legislatures to protect Washington’s health care and expand coverage.

* Because we’re committed to your health, we lead the field in mental health and whole-person care.
* 100% of our profits go right back into our partner Community Health Centers, so they can provide better care for all.

## The Power of Community

At Community Health Plan of Washington, we believe in the power of community. When we stand together, we stand stronger, united to welcome, support, and inspire members on their path to their best health.",,Non-Profit,Active,,20,20,8
15,Computers with Causes,"Our main goal is to provide a refurbished computer from one of our many generous donors towards an educational, needy individual, or future learning program.",N/A,Non-Profit,Active,,21,21,24
16,Cultural Orientation Resource Exchange (CORE),"The Cultural Orientation Resource Exchange (CORE), a technical assistance program, connects and supports refugee resettlement staff globally to deliver effective Cultural Orientation which helps refugees and Special Immigrant Visa holders achieve self-sufficiency in the United States.",,Technical Assistance Organization,Active,29,22,22,25
17,"Department of Children, Youth, and Families (DCYF)","DCYF is a cabinet-level agency focused on the well-being of children. Our vision is to ensure that ""Washington state’s children and youth grow up safe and healthy—thriving physically, emotionally and academically, nurtured by family and community.""

DCYF provides state-funded services that support children and families to build resilience and health, and to improve educational outcomes. We accomplish this by partnering with state and local agencies, tribes and other organizations in communities across the state of Washington. Our focus is to support children and families at their most vulnerable points, giving them the tools they need to succeed.","Monday-Friday, 8am-5pm",Government,Active,,23,23,26
18,Department of Social and Health Services (DSHS),As a department we are tied together by a single mission: to transform lives. Each administration within DSHS has a refined focus on this mission.,"Monday-Friday, 8am-5pm",Government,Active,,24,24,27
96,DSHS: Trent Office,"**Office and phone (877-501-2233) services 8 a.m. to 2 p.m.:**

* Complete your interview for cash or food (application/eligibility review/mid-certification review).
* Report changes for any of your benefits.
* Manage your WorkFirst/Social Services Case.

\*Customers who check in by 2 p.m. will be served that day.
**Services after 2 p.m.:**

* Attend previously scheduled appointments with a case manager.
* Ask a navigator to help answer general questions.

**\***ADA accommodations for scheduling and interviews will continue to be provided based on individual client needs.
**Office-only services:**

* Pick up EBT cards between 9 a.m. and 4 p.m.
* Submit documents or applications for benefits between 8 a.m. and 5 p.m.
* Use public computers in office lobbies for DSHS-related services, including online access to Working Connections Child Care services.","Weekdays, 8 AM - 5 PM",Government,Active,18,25,25,7
90,East Valley Baptist Church,We are a gospel centered church in Spokane Valley making disciples in the name of Jesus Christ.,,Church,Active,,26,26,28
19,Family of Faith Community Church,"Family Of Faith Community Church is a church you can call home! We are a church answering the call of Jesus Christ. The result is a mutual expression of love, respect, and sacrifice among a community of believers. Our mission is to glorify God by reaching the lost and loving Him forever and our purpose is to lead the community to the hope in Jesus Christ.","Wednesday, 6:30pm-8:30pm
Friday, 7pm-9pm
Sunday, 10am-12pm",Church,Active,,27,27,29
20,Family Promise of Spokane,Equipping families & communities to end the cycle of homelessness. Because every child deserves a home.,,Non-Profit,Active,,28,28,31
21,Family Reach,"Family Reach is a 501(c)(3) nonprofit that provides non-medical financial support to families facing cancer. Treatment requires more than medicine — families need a roof over their heads and food on their tables to survive. If a family can’t meet these basic needs, cancer treatment takes a back seat. We work with patients, providers, and community organizations to challenge the systems that force families to choose between their health and their home. Together, we’re making financial treatment a standard of cancer care.",,Non-Profit,Active,,29,29,32
105,Family Registration and Orientation Center (FROC),The FROC assists immigrant and refugee families with registration and navigation of SPS' many different functions and events.,,School,Active,60,30,30,33
22,First Presbyterian Church of Spokane (FPCS),,,Church,Active,,31,31,34
23,Free The People (FTP),"FTP Non Profit was started in 2016 by Yoshi Matthews. We are a non-profit organization with a strong desire to free people from their miseries and support underprivileged individuals and communities.

From relocating victims of domestic abuse to providing food and clothing for the poor and needy, everything that we do is driven by our passion to make a difference in the lives of people around us.",,Non-Profit,Active,,32,32,35
24,Garland Church,"At the local level, all service and witness happen in Journey Groups. Having considered the unique gifting of each group and through the leading of the Holy Spirit, various efforts have been adopted. We have a particular call to help those with food insecurity in our church neighborhood and to care for refugees through a partnership with World Relief. We SHARE Christ’s love with the world by serving needs outside of the church family and by inviting people to know and become disciples of Jesus Christ.",,Church,Active,,33,33,36
25,Global Neighborhood Thrift,"Global Neighborhood offers pathways to employment for our neighbors who have come to Spokane as refugees, providing work through our sustainable, accessible thrift and vintage store. Refugees receive job training, income, and a community of support to rebuild their lives in the U.S.",,Non-Profit,Active,,34,34,38
26,GreenHouse Food Bank,"The GreenHouse began in 1987 as a partner with the local Head Start program at Zion Lutheran Church. A grocery bag of food was provided to area families out of the greenhouse behind Zion. Currently, we partner with 2nd Harvest, Northwest Harvest, Project Beauty Share, and the Grocery Rescue program at local stores, as well as local schools, churches and individuals. Though the programs and location have changed over the years, our mission has always remained the same. As a faith -inspired non-profit, we serve our community by providing the most basic needs for people of all ages.",,Non-Profit,Active,,35,35,39
82,Habitat for Humanity,"Habitat for Humanity-Spokane is driven by our mission: Seeking to put God's love into action, Habitat for Humanity brings people together to build homes, communities and hope.

Habitat for Humanity partners with people in Spokane County, and all over the world, to help them build or improve a place they can call home. Habitat homeowners help build their own homes alongside volunteers and pay an affordable mortgage.",,Non-Profit,Active,,36,36,40
27,Homeless Resources,Homeless Resources provides households with a single destination to access services that help them stay in their homes or quickly exit homelessness. Homeless Resources connects households that are experiencing or at risk of homelessness with housing and case management services offered by Catholic Charities and our partner agencies in Spokane County.,,Non-Profit,Active,11,37,37,41
28,House of Charity,"House of Charity serves the most vulnerable members of our community, those who are on the streets running from mental illness and childhood trauma. They are running from it so fast that they have eluded each institution that has tried to help them — their families, their schools, the mental health system and every other shelter in town. These neighbors of ours have not fallen through the cracks so much as they have hidden there, having given up hope that life can improve.

At the House of Charity, we hold the hope until it rekindles in them. We welcome them because we believe each person, regardless of condition, is still worthy of being loved. We give them clean beds where they can lie down and a filling meal to restore them. Through our Food Rescue Program, we support meal ministries across Spokane so patrons can find sustenance wherever they go. We offer space, staff and services to guide them on the path back to themselves. We walk with them through their darkest valley, offering our hopeful presence to slowly ease their fears.",,Non-Profit,Active,11,38,38,42
111,Indian Trail Public Library,"A Library located in North Spokane. Provides access to Literature, video, music. Has free internet access, computer use, and limited free printing available. Community event spaces available for booking.","Mon-Thu 9 AM to 7 PM 

Fri-Sat 10 AM to 5 PM",Community Center,Active,110,39,39,
29,International Rescue Committee (IRC),"The International Rescue Committee provides opportunities for refugees, asylees, victims of human trafficking, survivors of torture, and immigrants seeking citizenship to thrive in America. Each year, thousands of people, forced to flee violence and persecution, are welcomed by the people of the United States into the safety and freedom of America. These individuals have survived against incredible odds. The IRC works with government bodies, civil society actors, and local volunteers to help them translate their past experiences into assets that are valuable to their new communities. In Spokane and other offices across the country, the IRC helps them to rebuild their lives.",,Non-Profit,Active,,40,40,25
30,Ladies Let's Talk,LLT helps refugee and immigrant women achieve belonging in their new community.,,Non-Profit,Active,,41,41,44
103,Latinos En Spokane,"We are an organization that supports citizen participation, integration, community development, and empowerment of the Latino population in Spokane.

Our Mission is to build capacity within Latino immigrant families and support the advancement of Latino community members, leaders, business-owners, and organizations in Spokane, to address the needs of the growing Latino population through inclusive community engagement, connections to local resources, and serve as catalyst for immigrant rights, social, racial, economic and environmental justice for a more equitable Spokane County.","Monday-Friday, 10:00am-6:00pm",Non-Profit,Active,,42,42,61
31,Manzanita House,"Our primary focus has always been to embrace, equip, and empower those we serve to feel welcome, stable, and connected to their community. Every immigrant deserves the opportunity to thrive and uniquely contribute to Eastern Washington’s burgeoning vibrance and diversity.","Monday, 9:00 AM - 4:30 PM
Tuesday, Wednesday, Friday, 9:00 AM - 4:00 PM
Thursday, 10:00 AM - 5:00 PM",Non-Profit,Active,,43,43,45
84,Mead Community Services,"The Mead Food Bank exists to serve the citizens of the Mead School District area. In order to fulfill its mission the Mead Food Bank will: Operate to supply food, clothing and referrals to persons in need and underserved living within the service area. Work in conjunction with other agencies, churches and other organizations to serve the surrounding people. Operate as a volunteer nonprofit agency, obtaining the majority of its support and donations from the community.",,Non-Profit,Active,,44,44,46
100,Meals on Wheels Spokane,"The **Meals on Wheels Spokane** program has been delivering hot, nutritious meals to elderly, homebound seniors in Spokane since 1967. We are the only Meals on Wheels program in Washington state to also have a senior center attached to our facility (**Mid-City Concerns**).

The objective of **Meals on Wheels Spokane** is to provide the proper nutrition to those individuals who cannot meet the need on their own. This service allows individuals to remain in their own homes and reduce premature out of home placement. It also allows a patient to leave a hospital, nursing care or rehab earlier, thereby encouraging the convalescing process in the familiar surroundings of the persons own home. This service is available to people of all income levels, either on a temporary or permanent basis without regard to race, color, religion, gender, national origin, handicap or political affiliation.","Monday-Friday, 8:00am-3:00pm",Non-Profit,Active,,45,45,48
32,Mercy Medical Angels,Removing the barrier to medical care with transportation on the ground and in the air. To ensure that no one is ever denied medical care because they don’t have transportation.,"Monday-Thursday, 9am-5:30pm
Friday- 9am-12pm",Non-Profit,Active,,46,46,47
101,Mid-City Concerns Senior Center,"The Mid-City Senior Center continues to provide hot lunch meals 5 days a week to Senior Center members 60 years of age and older. The suggested donation is $5.00 per hot lunch, or $25 membership paid up front for the year. Lunch is served at 11:30 A.M.

The senior center is open five days a week and provides a warm, inviting, and safe atmosphere for men and women who are predominantly living alone.
Mid-City Senior Center is the ""Center"" of these seniors’ lives. They receive assistance from a caring staff, trained to help them with problem solving and to make appropriate referrals for other needed services. We continue our advocacy program to further promote this cause for independence. Most important, they are treated with respect and kindness.
Our senior center offers activities such as: Arts/Crafts, Wii Bowling, Karaoke, Movies & Popcorn Days, and BINGO. Please check the activity calendar below for dates and times.
We also provide a monthly Birthday Celebration the 2nd Friday of each month, and have live music for special occasions.","Monday-Friday, 8:30am-3:00pm",Community Center,Active,100,47,47,48
33,MLK JR. Family Outreach Center,,,Community Center,Active,,48,48,49
98,Modest Needs,"Founded in 2002, Modest Needs is a non-profit organization with a unique, threefold mission. Modest Needs exists:

1. To responsibly provide short-term financial assistance to individuals and families in temporary crisis who, because they are working and live just above the poverty level, are ineligible for most types of conventional social assistance but who (like many of us) are living one or two lost paychecks away from the kind of financial catastrophe that eventually leads to homelessness;
2. To lessen the burden of state and federal agencies charged with the care of the truly indigent by doing everything in our power to stop these at-risk households from slipping into the cycle of poverty, despite the burden posed by an unanticipated, emergency expense; and
3. To promote compassion and generosity on the part of individual persons living in the United States and Canada, the areas that we serve, by standing as a living testament to the power of human kindness to change lives, no matter how much (or how little) a person has to share.",,Non-Profit,Active,,49,49,50
34,MSHH Donor Closet,"When durable medical and mobility equipment is no longer needed most people feel that the right thing to do is pass it along so it can help someone else. That is where MSHH comes in. We are all volunteers who accept donations of this good equipment, refurbish it and make it available to others at a very affordable “suggested minimum donation” amount. And, because we are a 501 (C)3 non-profit charity, the money that we take in above our expenses is made available to assist those in Washington, Northern Idaho, Montana and Alaska with Multiple Sclerosis. We don't charge tax and your donations may be tax deductible.","Wednesday, 10am-3pm
Thursday, 3pm-6pm
Friday, 10am-3pm
Saturday, 11am-2pm",Non-Profit,Active,,50,50,51
35,New Eyes,"New Eyes transforms the lives of children and adults facing financial hardship across the United States through the simple, yet critical, tool of eyeglasses. ",,Non-Profit,Active,,51,51,52
36,NJP - Spokane,"Northwest Justice Project (NJP) provides free legal assistance to address fundamental human needs such as housing, family safety, income security, health care, education, and more. Our work challenges structural and racial inequities to promote the long-term well-being of low-income individuals, families and communities across Washington State.",,Non-Profit,Active,38,52,52,3
107,Northeast Youth Center (NEYC),"The Northeast Youth Center (NEYC), a non-profit organization affiliated with the Spokane Parks and Recreation Department, is an educational and recreational program for children ages 3-12.

### OUR MISSION

**We offer a home away from home with meals, caring adults, and fun and engaging learning activities. Children are physically and emotionally cared for, and families are supported.**","Monday-Friday, 6:00am-6:00pm",Community Center,Active,,53,53,10
37,Northwest Connect,“The mission of Northwest Connect is to demonstrate love and respect by serving our neighbors through opportunities which empower families to improve their quality of life.”,"Tuesday, 11am-12:30pm
Thursday, 9am-10:30am",Outreach Ministry,Active,,54,54,53
38,Northwest Justice Project (NJP),"Northwest Justice Project (NJP) provides free legal assistance to address fundamental human needs such as housing, family safety, income security, health care, education, and more. Our work challenges structural and racial inequities to promote the long-term well-being of low-income individuals, families and communities across Washington State.",,Non-Profit,Active,,55,55,54
89,Northwest Mediation Center (NMC),"Northwest Mediation Center is a non-profit that exists for the purpose of providing alternative dispute resolution services without regard to a participant’s ability to pay, mediator training and certification, and conflict resolution education to the community. Northwest Mediation Center also offers the court mandated co-parenting Seminar “Sharing the Children” to help parents address their children’s needs and interests during and after separation, divorce, or other family changes. 

Office Hours: Tuesday - Friday 10 AM - 2 PM

Mediations are by appointment only.
Classes require advance registration.",,Non-Profit,Active,,56,56,55
39,Off Broadway Lighthouse,,,Non-Profit,Active,,57,57,56
40,Our Kids: Our Business (OK:OB),,,Non-Profit,Active,,58,58,57
41,Our Place,"Our Place Community Outreach respectfully welcomes our Spokane neighbors by providing basic needs and services, bringing hope for an improved future. Our team of volunteers and donors are ready to serve our local community by providing emergency resources such as food, clothing, hygiene, utility assistance, and bus passes.","Office Hours:
Tuesday- 9:00am-1:00pm
Wednesday- 2:00pm-6:00pm
Thursday- 9:00am-1:00pm
",Community Center,Active,,59,59,58
42,Partners INW,"Our mission is to feed, clothe, and empower our neighbors. Guided by our core values of relationship, stewardship, service, and kindness, Partners is a leader in building a future where every person has access to life’s essentials. When local families, vulnerable youth, and impoverished elderly face significant obstacles, Partners INW provides a safety net for those in need. With roots of compassion dating back over 60 years, Partners INW has grown to meet the needs of the community as the largest social services agency in Spokane Valley.","Office Hours: Monday-Friday, 8am-4pm

Food Bank Hours: Monday-Friday, 9am-3pm

Clothing Bank Hours: Monday-Thursday 10am-3pm
(Clothing Bank closed Friday for restocking)",Community Center,Active,,60,60,59
43,PCs for People,"PCs for People is a national nonprofit social enterprise working to get low-cost quality computers and internet into the homes of individuals, families, and nonprofits with low income. By recycling and then refurbishing computers, PCs for People provides a valuable service to businesses, families, and the planet by keeping computers out of landfills and repurposing them to advance digital inclusion.",Online only for Washington State. ,Non-Profit,Active,,61,61,60
104,Poder Legal,"In 2023, we launched the Poder Legal Department to provide civil and immigration legal support to low-income Latino individuals and families disproportionately affected by systemic inequalities in the legal system. Poder Legal focuses on addressing the unique legal needs of Latinos and immigrants in Eastern Washington, ensuring access to justice and resources for this underserved population.
Through this initiative, we aim to empower our community by offering essential legal assistance and advocating for their rights.",,Non-Profit,Active,103,62,62,61
44,Renew Spokane,"We are a collaborative community of faith taking steps to bring hope and healing to our city. We coordinate the efforts of individual Seventh-day Adventist churches, ministries, and volunteers from all walks of life to offer physical, emotional, spiritual, and social help for those in need. ",,Outreach Ministry,Active,,63,63,110
45,Resource Center of Spokane County,"The WorkSource Spokane network is a consortium of organizations and connection sites, each dedicated to supporting employment needs and career development.  As leaders in the workforce development industry, WorkSource Spokane constantly transforms and enhances the way career services are delivered to job seekers and employers to honor our commitment to empowering the community.","Monday-Friday, 9am-5pm",Government,Active,,64,64,62
85,Revive Community Services (aka Revive Ministries),"The Mission of Revive is to relinquish poverty and alleviate hunger in Spokane, Washington. We are mission bound to establish partnerships and everlasting relationships, acquire sponsorships during our special events and disbursements throughout the year and collect donations from local businesses and individuals.",,Outreach Ministry,Active,,65,65,63
46,SafeKids Coalition,,,Non-Profit,Active,,66,66,64
47,Salvation Army,"The Salvation Army is an evangelical part of the universal Christian Church. Our message is based on the Bible, our ministry is motivated by the love of God, and our mission is to preach the gospel of Jesus Christ as we meet human needs in His name without discrimination. Every program we offer is rooted in our passion to serve God by serving the lost, the vulnerable, the needy, the poor, the hurting, the helpless, and the hopeless.","Monday-Friday, 9am-4:15pm",Non-Profit,Active,,67,67,66
48,Senior Services,"The Senior Services program of Catholic Charities provides essential assistance to those who are aging or disabled and wish to remain in their own home. Volunteers and clients often form bonds of trust and friendship, transforming both lives for the better.",,Outreach Ministry,Active,11,68,68,70
49,Serve Spokane,"The Mission of Serve Spokane is to bring God's love to our community as we serve people in practical ways by raising up teams willing to use their time, talent and resources to help others improve their quality of life.","Business office hours: Tuesday-Thursday, 9:30am-11:30am",Outreach Ministry,Active,,69,69,71
112,Shadle Public Library,"A Library located in North Spokane near Shadle Park. Provides access to Literature, video, music. Has free internet access, computer use, and limited free printing available. Community event spaces available for booking.","Mon-Thu 9 AM to 7 PM 

Fri-Sat 10 AM to 5 PM",Community Center,Active,110,70,70,
50,Shalom Ministries,,,Outreach Ministry,Active,,71,71,72
51,Smile Mobile Washington,"SmileMobile Mission
To increase access to dental care for babies (first tooth), children, youth, pregnant, postpartum people with a focus on Black, Indigenous, and communities of color that experience oral health disparities and face challenges accessing dental in underserved communities throughout Washington state by using a mobile van staffed with volunteer dental professionals to provide care and by building lasting relationships with referral resources in each community.",,Non-Profit,Active,,72,72,73
52,SNAP Financial Access,"At SNAP Financial Access, we believe in promoting the economic health of Spokane County by supporting individuals, families, and small businesses through coaching, education, and loan programs.

We provide much needed capital to strengthen our community. Our consultants work with you to help ensure success and the workshops available through our Women’s Business Center provide training and resources to improve our clients’ overall financial stability and awareness.","Monday, Tuesday, Wednesday, Friday, 8am-4:30pm (Closes 12pm-1pm)
Thursday, 10:30am-4:30pm (Closes 12pm-1pm) ",Non-Profit,Active,59,73,73,49
53,Southside Christian Church,"At Southside, we want to live All for Jesus by cultivating Deep Roots in His Word, Strong Ties with His people, and a Wide Reach to His world.",,Church,Active,,74,74,74
102,Southwest Spokane Community Center,"At the Southwest Spokane Community Center, we're dedicated to serving our community in the Southwest Spokane area. We provide drop in child care after school and during the summer. We also serve our community through providing food for the hungry. We receive food donations from 2nd Harvest and UGM, which we distribute every Friday. 
We have a heart for our community and love to serve them. The kiddos in our Youth Programs are fantastic and fun to have around the building and neighborhood. The Youth Program staff and volunteers have a heart for our kids and enjoy hanging out with them. Our Food Bank Volunteers work hard to distribute food to those that would go hungry without it. We're proud of our staff and volunteers and the passion they have for the community we serve.","Monday-Friday, 7:30am-5:30pm",Community Center,Active,,75,75,75
54,Special Mobility Services (SMS),"Under a grant from the Washington State Department of Transportation and with support from local communities, SMS provides intercity transportation in a three-county area, linking rural communities in Eastern Washington with Spokane. SMS Community Shuttles operate weekdays and are fully accessible to people using wheelchairs or other mobility devices.","Weekdays, 8:00 AM - 4:00 PM",Non-Profit,Active,,76,76,76
55,Spokane Central Lions Club,,,Community Center,Active,,77,77,77
99,Spokane Community College (SCC),"Spokane Community College (SCC) is one of two accredited institutions of Community Colleges of Spokane and one of the largest community colleges in the state. SCC is known for leading programs in automotive, aviation, cosmetology, culinary arts, healthcare, machining and welding, just to name a few. We also train and certify many professionals through our Apprenticeship and Journeyman Training Center and the popular Avista/SCC Lineworker School. SCC provides associates degrees and transfer-ready programs to open your path to a four-year college or university. The main campus is located in Spokane, with centers in Colville, Newport, Republic and Inchelium.",,School,Active,,78,78,78
