id,name,org_id,location_id,satus,details,open_hours,is_online_only,is_application_only,eligibility,cost_id,contact_id,language_info,log_id,keyword_id
9,AICC Food Distribution Center,3,5,Active,2nd Harvest Food Bank provides food every week. We serve all persons in the Spokane areas well as American Indian Families.,"Weekdays, 9 AM - 4:30 PM",,,NONE,11,122,No listed language support,122,11
10,Computer Access,3,5,Active,"Computer access available for online job search, resume preparation and job-related printing available with permission from front desk receptionist. Time limit is requested to show courtesy of sharing equally of computer use for all clients.",Call during standard business hours.,,,NONE,12,123,No listed language support,123,12
11,Family Services - Crisis Intervention,3,5,Active,We offer crisis intervention and case management for elders and families. An extensive information of local network resources for referral used to assist those in need of comprehensive services to help clients with basic needs. This service is solely supported by community donations.,Call during standard business hours.,,,NONE,13,124,No listed language support,124,13
281,Mental Health and Substance Use Disorder Treatment,3,5,Active,"Goodheart Behavioral Health provides Adult Intensive Outpatient substance use disorder treatment. Substance Abuse assessments (18 years and older) can enroll into Outpatient Treatment (OP). ASAM Criteria Level 1, sessions two hours per week and (IOP) ASAM Criteria Level 2.1 with sessions six hours per week. Referral assistance with admission into other facilities for Inpatient Treatment, work with Court ordered deferred prosecutions. Aftercare/ Relapse Prevention Program is available for adults who have completed Inpatient, Outpatient, and Intensive Outpatient programs needing continued care and support.

Outpatient services will use a person-centered, holistic model of care to assist individuals 18 and older who are experiencing mental health issues. Assessment of individual Mental, Emotional, Physical and Social needs and treatment planning in individual or group therapy session. Psychiatric medication management pending program approval. All Goodheart Behavioral Health/Mental Health services and treatment levels utilize culturally appropriate assessments, group and individual therapy sessions, and Native focused psycho education classes. Most insurances are accepted or sliding fee scale of payment.",Call during standard business hours.,,,Call for information. ,14,125,No listed language support,125,14
12,Senior Lunches,3,5,Active,Meals on Wheels serves senior lunches on Tuesdays and Thursdays at 11 AM,"Tuesdays / Thursdays, 11 AM",,,NONE,15,126,No listed language support,126,15
13,Working Families Tax Credit Outreach Program,3,5,Active,"To see if you qualify, go to Washington State Department of Revenue website. For additional information contact us at the AICC.     ",Call during standard business hours.,,,NONE,16,127,No listed language support,127,16
14,Operation Sight,4,6,Active,"Operation Sight provides free cataract surgery to people who are uninsured or underinsured and would otherwise not be able to afford or access care. Their U.S.-based, charitable cataract surgery program screens patients for eligibility and then works to match approved patients with a volunteer surgeon, who is able to provide charitable cataract surgery at no cost to the patient.

This program provides:

- Cataract surgery

This program is offered within the U.S., and patients are responsible for their own transportation to and from appointments and surgery. Acceptance to Operation Sight does not guarantee surgery, and there is no set timeframe for when an approved applicant will receive surgery.

After submitting a patient inquiry form on the website, an Operation Sight staff member will respond via email within 5-7 business days. Those who meet all requirements will be asked to complete a more detailed application and provide additional documentation. Applicants will be contacted within 14 business days after their complete application has been submitted and reviewed. If approved, the patient will be matched to an Operation Sight volunteer in their area.",Apply online,,,"'- This program helps people with income at or below 200% of federal poverty guidelines.
- Must be uninsured or underinsured when insurance does not cover cataract surgery. Patients who receive Medicare Part B are ineligible. The program does not pay or assist with copays.
- Must have a formal cataract diagnosis where cataract surgery has been deemed medically necessary.
- Must be permanently residing in the United States. Applicants who are temporarily visiting do not qualify for the program.

Required Documentation:
Proof of Income: One of the following: If employed - W-2, monthly paystub, annual tax return, If unemployed - copy of financial award letters from disability, social security, food stamps, retirement fund or pension, alimony, or unemployment offices
Household Member 
Documents: If unemployed and living with friends or family: Proof of household income | Letter from family confirming they are financially supporting the applicant
Other Documents: Cataract diagnosis (within past 24 months).",17,128,No listed language support,128,17
15,Audubon Park Food Bank,5,7,Active,Each month hundreds of pounds of food are donated and distributed through the Audubon Park Food Bank. The Food Bank works with Second Harvest to provide healthy food to those in our service area. ,"2nd & 4th Tuesdays of the month, 8:30 AM - 11:30 AM",,,Call for information.,18,129,No listed language support,129,18
16,Bare Necessities,5,7,Active,"Our Bare Necessities ""Non-Food Pantry"" offers the basics for household and personal hygiene for free! The mission of the Bare Necessities pantry is to support Audubon Park Food Bank clients or anyone else in need by offering personal hygiene and household cleaning products - because every person has the right to feel clean.","2nd & 4th Tuesdays of the month, 8:30 AM - 11:30 AM",,,NONE,19,130,No listed language support,130,19
17,Tuesday Morning Breakfast,5,7,Active,"What began as an offer of a hot cup of coffee and a dry, warm place to wait for the food bank has transformed into a hot breakfast, produce and baked goods program. Each week truckloads of groceries are collected, weighed, sorted and handed out to those in need. Open to all, the mission of this ministry is to treat everyone with respect and dignity. Volunteers provide a friendly atmosphere where all are welcomed. They work diligently to feed the guests body and soul.","2nd & 4th Tuesdays of the month, 8:30 AM - 11:30 AM",,,NONE,20,131,No listed language support,131,20
18,BLC Dental Clinic,6,8,Temporary Closure,The Dental Clinic is a nonprofit ministry that serves the community of Spokane and surrounding communities.,We have a target date to reopen on October 7.,,,UNKNOWN,21,132,No listed language support,132,21
19,Food Pantry,6,8,Active,"We will serve anyone in need with an emergency food basket on a first-time basis. We do not discriminate on the basis of race, sexual orientation, color, religion, sex, age, national origin, citizenship, ancestry, physical or mental handicap, marital status, or from being a recipient of federal, state, or local public assistance, or is a disabled veteran. We do reserve the right to refuse service to a client deemed a danger to other clients or to the volunteers.","Tuesdays, 9am-11:30am & 1:00pm-3:30pm
Thursdays, 9am-12:30pm
",,,"Must live in WA, must bring WA issued picture ID with birthdate, must bring proof of address (mail, lease, rent receipt, government documents with home address on them), must be over 18, home address must be within zipcodes 99207 (west of Perry), 99208 (south of Francis), or 99205 (north of Montgomery and east of Monroe).",22,133,No listed language support,133,22
20,Peace is an Inside Job - Bible Study,6,8,Active,Community Bible study at the Better Living Center,"Tuesdays, 7 PM - 8 PM",,,NONE,23,134,No listed language support,134,23
21,Dollar for Debt Forgiveness,7,9,Active,"Most hospitals offer discounts or bill forgiveness based on income. On average, a family of 4 earning less than $100,000 a year will qualify. We can help you apply — for free.",Apply Online,,,NONE,24,135,No listed language support,135,24
22,FailSafe for Life,7,10,Active,"Education and Community Events for Suicide Prevention.

Saturation Training
“Saturation Training” or basic education to the key
gatekeepers laid out in the National Strategy for Suicide
Prevention along with any other interested party. 

Advanced Training
Advanced level training for helping professions or those who
would be providing emergency and/or ongoing care.

Awareness Campaigns
Awareness campaigns to bring this issue to the attention of
the community.

Coordination with the Media
Working with the media to promote proper coverage and
prevent contagion.

Supporting Prevention Methods
Supporting means restriction as an effective method of prevention.

Community Involvement
Working with existing organizations and groups to create a
collaborative, efficient effort.",Call during regular business hours.,,,NONE,25,136,No listed language support,136,25
23,Soup Kitchen,8,11,Active,,"Saturdays, 10 AM - 12 PM",,,Call for information.,26,137,No listed language support,137,26
24,Baby Care 101,9,17,Active,Baby Care 101 is a two-week course to give expectant and newly parenting individuals/couples tools to learn how to care for their new baby.,Apply online,,,"All CAPA/PREPARES services offered are free of charge to any parent, guardian, or caregiver of any child aged 0-5.

Apply online for eligibility.",27,138,No listed language support,138,27
25,Baby Care Assistance,9,17,Active,"DIAPERS, WIPES, and FORMULA ONCE EVERY 30 DAYS.
Walk-In Hours are Monday-Thursday from 10 am - 2 pm. No appointment is necessary.",Walk-In Hours are Monday-Thursday from 10 am - 2 pm,,,"All CAPA/PREPARES services offered are free of charge to any parent, guardian, or caregiver of any child aged 0-5.",28,139,No listed language support,139,28
26,Case Management,9,17,Active,"Offers parents the opportunity to have parent support, goal setting, and community resources to help them be the parent they want to be with support from our compassionate circle of security-trained case manager. For more information contact Sarah Durrant at sarah.durrant@cceasternwa.org.",Apply online.,,,"All CAPA/PREPARES services offered are free of charge to any parent, guardian, or caregiver of any child aged 0-5.

Apply online for eligibility.",29,140,No listed language support,140,29
27,Circle of Security Parenting Classes,9,17,Active,"Circle of Security® Parenting™ (COSP) teaches parents to identify, understand and respond to their child's emotional needs. Through COSP, parents discover they are capable of connecting with, loving, and raising secure children. CAPA/PREPARES offers the 8-week COSP group quarterly for parents of children aged six months to five years old.",Apply online.,,,"All CAPA/PREPARES services offered are free of charge to any parent, guardian, or caregiver of any child aged 0-5.

Apply online for eligibility.",30,141,No listed language support,141,30
28,Education Support,9,17,Active,"EDUCATION SUPPORT
Education support focuses on families with children ages three to five, to prepare them for kindergarten. The program is led by a CAPA/PREPARES Education Support Specialist with over thirty years of experience in education. This provides an extra layer of support giving children the tools they need to be successful in their first years of schooling and providing ongoing support to parents navigating this new system. Education support also provides GED and ESL support for mothers and fathers. For more information contact Sandi Nokes at Sandi.nokes@cceasternwa.org.",Apply online.,,,"All CAPA/PREPARES services offered are free of charge to any parent, guardian, or caregiver of any child aged 0-5.

Apply online for eligibility.",31,142,No listed language support,142,31
29,Essential Items,9,17,Active,"CLOTHING (SIZES NEWBORN - 5T) ONCE EVERY 60 DAYS.
To place an order for clothing, please allow two business days to fill your order. Pick up available during walk-in hours.

OTHER ESSENTIAL ITEMS, ONCE EVERY 60 DAYS
Items include pack n' plays, highchairs, baby gates, strollers, baby baths, and more. (Please attach your other essential items with your clothing order).",Apply online.,,,"All CAPA/PREPARES services offered are free of charge to any parent, guardian, or caregiver of any child aged 0-5.

Apply online for eligibility.",32,143,No listed language support,143,32
30,Music Together (Partnership with Songbird Studio),9,17,Active,"An interactive music class for children ages zero to five to attend with their caregiver.
Classes create a nurturing environment to have fun singing, dancing, playing instruments, and hearing stories.",Apply online.,,,"All CAPA/PREPARES services offered are free of charge to any parent, guardian, or caregiver of any child aged 0-5.

Apply online for eligibility.",33,144,No listed language support,144,33
31,Prepared Moms,9,17,Active,"A weekly social support group for moms with children under the age of five. Join us in building friendships, fostering community, and supporting one another in navigating parenthood on Thursdays from 10-11:30 am. Mothers of children aged 0-5 can attend on a drop-in basis and receive free childcare during group.",Apply online,,,"All CAPA/PREPARES services offered are free of charge to any parent, guardian, or caregiver of any child aged 0-5.

Apply online for eligibility.",34,145,No listed language support,145,34
223,Medical Lake Food Bank,92,12,Active,Local food bank.,"Unlisted, but expected: 

* Thurs: 5:30 pm - 6:30 pm (1st Thursday - Pantry Distribution)
* Fri: 10 am - 12 pm (Weekly)",,,Unlisted,35,146,No listed language support,146,35
32,Bus Passes & Fuel Vouchers,10,13,Active,As long as funds are available.,"Mondays / Wednesdays / Thursdays, 10:30 AM - 1:30 PM",,,"The last client sign-in time is 1:00 p.m. If Caritas Food Bank has met the client capacity prior to 1:00 p.m., they will stop signing clients in. Clients are welcome to visit one day a week.",36,147,Limited language access | Spanish,147,36
33,Caritas Food Bank,10,13,Active,"Bread, Produce, Pantry Staples, & More!","Mondays / Wednesdays / Thursdays, 10:30 AM - 1:30 PM",,,"The last client sign-in time is 1:00 p.m. If Caritas Food Bank has met the client capacity prior to 1:00 p.m., they will stop signing clients in. Clients are welcome to visit one day a week.",37,148,Limited language access | Spanish,148,37
34,Hygiene Center,10,13,Active,"Hygiene & Cleaning Supplies, Diapers & Wipes","Mondays / Wednesdays / Thursdays, 10:30 AM - 1:30 PM",,,"The last client sign-in time is 1:00 p.m. If Caritas Food Bank has met the client capacity prior to 1:00 p.m., they will stop signing clients in. Clients are welcome to visit one day a week.",38,149,Limited language access | Spanish,149,38
35,Utilities Assistance,10,13,Active,"Avista / City of Spokane, as long as funds are available.",Call during standard business hours.,,,Must be a client of Caritas.,39,150,Limited language access | Spanish,150,39
36,Housing Assistance,11,14,Active,#NAME?,Call during regular business hours.,,,Included in enrollment application.,40,151,No listed language support,151,40
37,Immigration Legal Services,11,14,Active,"Immigration Legal Services provides high-quality legal consultations, representation, and assistance to documented and undocumented immigrants of all nationalities, ethnicities, and religions.
Our primary goals are to promote the reunification of families and to assist the integration of newcomers successfully into our community.
Each client is treated professionally and confidentially by our staff. If we are unable to provide assistance on a particular matter, we are able to refer individuals to a variety of local resources.",Call during regular business hours.,,,NONE,41,152,No listed language support,152,41
38,Integrated Case Management (ICM),11,15,Active,"Integrated Case Management assists people in stabilizing their housing, income, behavioral health, and/or substance use. Integrated Case Management empowers individuals and families to achieve their own goals of economic mobility and self-sufficiency through supportive housing, supported employment, and peer support services, and works to help clients access behavioral health, substance use disorder, and healthcare services directly and efficiently, in order to provide our clients with high-quality and holistic services.",Call during regular business hours.,,,NONE,42,153,No listed language support,153,42
39,Rising Strong,11,23,Active,"Rising Strong is a holistic, family-centered drug treatment and housing program supporting families in staying together while they begin to recover from addiction, heal from trauma and rebuild their lives.

Rising Strong provides assessments and plans for each family member (parents and children).

Parents will receive a variety of services, including:?
Recovery Coaching, Counseling, Parenting Skills, Education Support, Vocational Training

Children will receive a variety of services, including:
Early learning opportunities, High-quality child care, Educational Support, Mental Health screening and treatment, Recreational Activities, Parent engagement through evidence-based parenting programs.

--------------------------------------------------
CORE ELEMENTS

Safe Housing:
Family will reside in Rising Strong Community for 12-18 months.

Substance Abuse Recovery:
Substance abuse services on site for adults and teens.

Clinical Support-Adults:
Mental health assessments and services provided on-site.

Education and Employment:
Education support for adults and children.

Child Assessment and Treatment:
All children receive comprehensive age-appropriate assessment and treatment.

Integrated Family Treatment:
Services provided to restore maximum family functioning.

After Care:
Long-term affordable housing, support, and services provided to program graduates.",Call or email to schedule an appointment.,,checked,Provided during intakte.,43,154,No listed language support,154,43
40,St. Anne's Children & Family Center,11,17,Waitlist Only,"St. Anne's Children & Family Center provides high-quality child care and early learning experiences for children of all faith ranging in age from 1 month through 6 years. We are an exemplary early learning center with highly educated and experienced staff who demonstrate professionalism and a passion for children. We are committed to meeting and exceeding all quality and educational standards for our center and for each child we serve.

St. Anne’s Provides:
- Secure Locked Facility
- Trauma Informed Social Emotional Educational program for infants, toddlers, and preschoolers focused on the individual child
- Qualified and nurturing teachers who have degrees in Education, Early Childhood Education and/ or STARS training
- 14 separate classrooms, multiple indoor large motor areas, three outdoor play areas, as well as a covered rooftop play area
- 2 areas specializing in S.T.E.A.M (Science, Technology, Engineering, Arts, & Mathematics)
- Family library
- Community Garden
- An award-winning menu with a wide variety of healthy nutritious foods, nutritional education, and farm to table program","Monday - Friday, 7 AM - 5:30 PM",,,NONE,44,155,No listed language support,155,44
41,The Catalyst Project,11,18,Active,"The Catalyst Project is an emergency supportive housing program that will create a new pathway out of homelessness for people in our community. The Catalyst Project can provide a strategic enhancement to our current regional shelter system by providing 87 rooms to both men and women experiencing homelessness. In addition, 14 of the 87 rooms will be set aside for double occupancy.

Key Features:
- Fully staffed security team who will patrol 24 hours a day, seven days a week, around a fenced and secured area.
- Robust Care Coordination services, including housing-focused opportunities, connections to behavioral health services, primary care, and public benefits.
- Contracted food services to provide three meals a day.
- Residents will abide by Catalyst’s Good Neighbor Agreement.",Call during regular business hours.,,,Must be homeless or facing homelessness.,45,156,No listed language support,156,45
42,Infants Program (4 weeks - 12 months),12,19,Active,"Ratios are 4:1 for Infants

We have two classrooms of Infants, ages 4 weeks to 12 months, maximum group size of 8 per room

USDA approved Breakfast, Lunch and Snack are provided beginning at 12 months.",Mon – Fri: 7am – 6pm,,,NONE,46,157,No listed language support,157,46
216,Food Distribution Center,87,20,Active,Are you in need of assistance? Please reach out for more information. Or stop by.,"Mondays, 4 PM - 6 PM
Wednesdays, 9 AM - 11:30 AM",,,Unlisted,47,158,No listed language support,158,47
222,Feed Cheney,91,21,Active,Many of Cheney's community safety net programs are not open after 5pm. Feed Cheney has evolved into a year-round free monthly scratch-made meal and community hub for volunteering.,"Often on the last Monday of the month, 5:30 PM",,,Unlisted (likely must be enrolled in (or have a child enrolled in) Cheney School District),48,159,No listed language support,159,48
43,CORE Grant,13,22,Active,"A CORE grant is a gift of financial support to qualifying food & beverage service employees with children. Every CORE grant is uniquely tailored to a grantee’s qualifying circumstances and financial need. Expenses that CORE grants cover include rent and mortgage, utilities, medical supplies, medical or therapy equipment, therapies, prescriptions, over-the-counter medication, medical travel expenses, funeral expenses, groceries, clothing, and other essential needs a family may need assistance with.","Apply Online
(https://core.submittable.com/login?login=1&returnUrl=%2Fsubmit%2F284871%2Fcore-2024-application)",,,"1) Must be currently working in the food and beverage service industry and have worked in the food and beverage service industry for the past 90 days.
2) Must have a legally dependent child under the age of 18 or a medically dependent child with documentation living within your home.
3) Must have a qualifying circumstance within the last 90 days. Please note: Support from CORE is limited to one lifetime grant per family.

Further breakdown of eligibility can be found on the website.",49,160,No listed language support,160,49
44,Case Management,14,23,Active,"Whether you are in need of housing assistance, supported employment, referrals to community resources, access to legal help, or information on applying for supplemental income, case management services are available to ensure your basic needs are met and to help you reach your goals.",Call for an appointment.,,checked,NONE,50,161,No listed language support,161,50
45,Family Therapy,14,23,Active,"Using evidence-based methods, family therapy can provide skills, knowledge, and the space to deal with hard things. We serve families of all sorts and sizes - helping you implement skills which will enhance relationship, manage behavior, build trust, process, understand, and take preventative measures.",Call for an appointment.,,checked,NONE,51,162,No listed language support,162,51
46,Group Therapy,14,23,Active,"For clients enrolled in individual therapy, we offer several group therapy opportunities including Mindfulness and Dialectal Behavioral Therapy skills. The Mindfulness group is a safe space to get support as you make positive life changes in our life, moving towards peace and gratitude. The Dialectical Behavioral Therapy (DBT) group teaches skills to improve one's ability to cope with difficult emotions, have better relationships, and manage stress.",Call for an appointment.,,checked,NONE,52,163,No listed language support,163,52
47,Individual Therapy,14,23,Active,"Fully-licensed mental health therapists serve adults and teens with evidence-based practices. Each therapist works from a variety of treatment modalities including cognitive behavioral therapy, and interpersonal therapy, and we specialize in Dialectical Behavioral Therapy and Eye Movement Desensitization and Reprocessing Therapy (EMDR)",Call for an appointment.,,checked,NONE,53,164,No listed language support,164,53
48,Peer Support,14,23,Active,"Support is provided by peer counselors who have demonstrated their own mental health recovery and are committed to passing on what they have learned to others. Peer counselors provide hope that recovery is possible. That is done through activities directed by the client that affirm one's strengths and self-worth. These activities might include learning new life skills, learning how to navigate mental health services, and learning how to advocate for oneself.",Call for an appointment.,,checked,NONE,54,165,No listed language support,165,54
49,Affordable Computers,15,24,Active,"We do a strict need assessment, background and reference check, which helps us eliminate false requests and benefit those truly in need. If you or your nonprofit truly are in need and we are able to help, we will certainly contact you. Sometimes this can be weeks, so please be patient. We have a limited volunteer staff and strive to meet all application demands in a timely manner.

After the application is submitted, we will review the information provided, then review our inventory, and if we are able to assist you then you will be contacted within 30 days. All applications are valid for 30 days, so if you do not hear from us within that time frame then you can apply again.",Apply online.,,,Background check included in application.,55,166,No listed language support,166,55
50,Settle In App & Website,16,25,Active,"Settle In digital platforms are available in multiple languages and provide videos, podcasts, and other resources on different topics about life in the United States.

The Settle In website has hundreds of resources including videos, podcasts, and fact sheets. Topics include cultural adjustment, employment, housing, U.S. laws, and more. Available in: Arabic, Burmese, Dari, English, Farsi, Kinyarwanda, Pashto, Russian, Somali, Spanish, Swahili, and Ukrainian. ",Website and App are available at user's discretion.,,,NONE,56,167,No listed language support,167,56
282,Child Protective Services,17,26,Active," CPS is responsible for the assessment, investigation, and intervention in cases of child abuse and neglect. Their primary focus is on protecting children and ensuring their safety and well-being.",Call during standard business hours.,,,Call for information.,57,168,No listed language support,168,57
278,Family Reconciliation Services (FRS),17,26,Active,"Family Reconciliation Services (FRS) is a voluntary program serving runaway adolescents and youth who are in conflict with their families. The program targets adolescents between the ages of 12 through 17. FRS services are meant to resolve crisis situations and prevent unnecessary out-of-home placement. They are not long-term services. The services will assess and stabilize the family's situation. The goal is to return the family to a pre-crisis state and to work with the family to identify alternative methods of handling similar conflicts. If longer-term service needs are identified, FRS will help facilitate getting the youth and their family into ongoing services.",Call during standard business hours.,,,Call for more information.,58,169,No listed language support,169,58
279,Foster Youth Services,17,26,Active,"Help foster youth with employment, create resumes, housing, budgeting, education, health services, and providing support for LGBTQIA+ youth.",Call during standard business hours.,,,Call for information.,59,170,No listed language support,170,59
280,Juvenile Rehabilitation,17,26,Active,"DCYF's Juvenile Rehabilitation (JR) serves Washington state's highest-risk young people, who are convicted of crimes that reflect the profound violence, neglect, trauma, addiction, and other challenges they faced before they ever reached our doors.

The goal of JR is to deliver treatment, provide resources, and develop skills so young people can plan for their future and reenter their communities",Call during standard business hours.,,,JR serves youth up to 25 years old who are committed to juvenile custody by a court.,60,171,No listed language support,171,60
276,Working Connections Child Care (WCCC),17,26,Active,"Working Connections Child Care (WCCC) helps eligible families pay for child care. When a family qualifies for child care subsidy benefits and chooses an eligible provider, the state pays a portion of the cost of child care. Parents may be responsible for a copayment to their provider each month.",Call during standard business hours.,,,"'- The child must reside in Washington.
- The family with whom the child resides must live in Washington state.
- The family's income must be at or below 60% of the State Median Income (SMI) at application or 65% of SMI when reapplying.
- The family must have resources under $1 million.",61,172,Access to phone interpreters | ALL LANGUAGES,172,61
52,Food Assistance Program (FAP),18,27,Active,,Call during standard business hours.,,,,62,173,Access to all kinds of interpreters | ALL LANGUAGES,173,62
53,Temporary Assistance for Needy Families (TANF),18,27,Active,Temporary Assistance for Needy Families provides temporary cash for families in need. Some families participate in the WorkFirst Program. The WorkFirst Program helps participants find and keep jobs.,Call during standard business hours.,,,"'- Income and resource requirements: Total resource value of under $12,000.
- Citizenship and alien status requirements
(More information available on website)",63,174,Access to all kinds of interpreters | ALL LANGUAGES,174,63
221,Food Pantry,90,28,Active,"If you are in need, please come to our food pantry to get food for yourself or for your family. We love having volunteers, anyone is welcome to come and help us.  Email us at eastvalleybaptist@gmail.com for any questions or help.","4th Saturday of every month, 10 AM - 12 PM",,,Unlisted,64,175,No listed language support,175,64
54,Alcoholics Anonymous,19,29,Active,Christ centered Alcoholics Anonymous.,"Sundays, 7pm-8pm",,,NONE,65,176,No listed language support,176,65
55,Breaking Bread (Food Pantry),19,29,Active,"Jesus has asked that we love our neighbors, and this is an opportunity to show that love. Whether in need or wishing to simply come help Breaking Bread Ministry is a wonderful place to connect, serve and receive the love of Christ.","Tuesdays, 9am-11am",,,NONE,66,177,No listed language support,177,66
56,Breaking Bread (Food Rescue),19,29,Active,Food Rescue 7 days a week (inquire for times if interested in Serving),Call during standard business hours.,,,NONE,67,178,No listed language support,178,67
57,Celebrate Families,19,29,Active,Support for those loving the addict in their lives.,"Wednesdays, 7pm- 8pm",,,NONE,68,179,No listed language support,179,68
58,Celebrate Recovery,19,29,Active,Large and small groups and dinner.,"Wednesday, 7:00pm-8:00pm
Friday, 5:30pm-9:00pm",,,NONE,69,180,No listed language support,180,69
